     0.000   -39.129535930   -39.058433400   -39.003650400   -39.003650400   -38.989959604
     0.500   -39.131816390   -39.055546610   -39.001590660   -39.001590660   -38.989935571
     1.000   -39.132162700   -39.051814020   -39.000130990   -39.000130990   -38.989876202
     1.500   -39.130951190   -39.047553820   -39.000390680   -39.000390680   -38.989812470
     2.000   -39.128706670   -39.043126280   -39.003473150   -39.003473150   -38.989794912
     2.500   -39.125649270   -39.038649650   -39.009682520   -39.009682520   -38.989863423
     3.000   -39.121386920   -39.033981020   -39.017876900   -39.017876900   -38.990107298
     3.500   -39.115135590   -39.031751660   -39.022976820   -39.022976820   -38.991396408
     4.000   -39.106926460   -39.036889440   -39.019075590   -39.019075590   -38.990259637
     4.500   -39.097598660   -39.041361700   -39.014980060   -39.014980060   -38.990154385
     5.000   -39.087955880   -39.043817320   -39.012887560   -39.012887560   -38.990163401
